"filename", "language", "JavaScript", "vue", "comment", "blank", "total"
"f:\NewWebApp\src\api\user.js", "JavaScript", 102, 0, 7, 20, 129
"f:\NewWebApp\src\components\layouts\MainHeader.vue", "vue", 0, 3, 0, 0, 3
"f:\NewWebApp\src\components\layouts\MainSider.vue", "vue", 0, 3, 0, 0, 3
"f:\NewWebApp\src\components\layouts\MeetingFooter.vue", "vue", 0, -26, 1, 0, -25
"f:\NewWebApp\src\components\layouts\MeetingSider.vue", "vue", 0, 10, 0, 1, 11
"f:\NewWebApp\src\main.js", "JavaScript", 4, 0, 13, 3, 20
"f:\NewWebApp\src\router\index.js", "JavaScript", -2, 0, 7, 0, 5
"f:\NewWebApp\src\stores\useUserStore.js", "JavaScript", 14, 0, 0, 2, 16
"f:\NewWebApp\src\views\login\AccountLogin.vue", "vue", 0, 5, 0, 1, 6
"f:\NewWebApp\src\views\login\EmailLogin.vue", "vue", 0, 3, 0, 0, 3
"f:\NewWebApp\src\views\main\Chat.vue", "vue", 0, 178, 1, 19, 198
"f:\NewWebApp\src\views\main\Friend.vue", "vue", 0, 30, 1, -17, 14
"f:\NewWebApp\src\views\main\Main.vue", "vue", 0, 1, 0, -1, 0
"f:\NewWebApp\src\views\main\Record.vue", "vue", 0, 62, 1, 6, 69
"f:\NewWebApp\src\views\main\RecordDetail.vue", "vue", 0, 160, 1, 17, 178
"f:\NewWebApp\src\views\main\Schedule.vue", "vue", 0, 2, 0, 0, 2
"f:\NewWebApp\src\views\main\User.vue", "vue", 0, 43, 0, 0, 43
"f:\NewWebApp\src\views\meeting\Meeting.vue", "vue", 0, 30, 0, -2, 28
"Total", "-", 118, 504, 32, 49, 703
