"filename", "language", "JavaScript", "vue", "comment", "blank", "total"
"f:\NewWebApp\src\router\index.js", "JavaScript", -12, 0, 0, 0, -12
"f:\NewWebApp\src\views\test\button.vue", "vue", 0, -44, 0, -4, -48
"f:\NewWebApp\src\views\test\plusIcon.vue", "vue", 0, -24, 0, 0, -24
"Total", "-", -12, -68, 0, -4, -84
